Institution Name,Head Office,Institution Type,Cleaned Name,linkedin_url
Gulf Finance Corporation PJSC,Dubai,Finance Company,Gulf Finance Corporation,https://www.linkedin.com/company/gulf-finance-corporation
Amlak Finance PJSC,Dubai,Finance Company,Amlak Finance,https://ae.linkedin.com/company/amlak-finance
Tamweel PJSC,Dubai,Finance Company,Tamweel,https://www.linkedin.com/company/tamweel-pjsc
Samaa Finance PSC,Dubai,Finance Company,Samaa Finance,https://uk.linkedin.com/company/samaafinance
Aafaq Islamic Finance PJSC,Dubai,Finance Company,Aafaq Islamic Finance,https://www.linkedin.com/company/aafaqislamicfinance?trk=ppro_cprof
Al Mashreq Al Islami Finance Company PJSC,Dubai,Finance Company,Al Mashreq Al Islami Finance Company,https://www.linkedin.com/company/mashreq-uae
First Abu Dhabi Islamic Finance PJSC,Abu Dhabi,Finance Company,First Abu Dhabi Islamic Finance,https://www.linkedin.com/company/first-abu-dhabi-bank/
Mawarid Finance PJSC,Dubai,Finance Company,Mawarid Finance,https://www.linkedin.com/company/mawarid-finance
Reem Finance PJSC,Abu Dhabi,Finance Company,Reem Finance,https://www.linkedin.com/company/reem-finance
Al Futtaim Finance Co. PV J.S.C.,Dubai,Finance Company,Al Futtaim Finance Co PV JSC,https://www.linkedin.com/company/alfuttaim
Deem Finance LLC,Dubai,Finance Company,Deem Finance,https://www.linkedin.com/company/deem-finance
Emirates Money Consumer Finance LLC,Dubai,Finance Company,Emirates Money Consumer Finance,https://www.linkedin.com/company/emirates-nbd/
Finance House LLC,Abu Dhabi,Finance Company,Finance House,https://www.linkedin.com/company/finance-house-llc?trk=ppro_cprof
Siraj Finance Company PJSC,Abu Dhabi,Finance Company,Siraj Finance Company,https://www.linkedin.com/company/sirajfinance
AMEX (Middle East) B.S.C.*,Dubai,Finance Company,AMEX (Middle East) BSC*,https://www.linkedin.com/company/americanexpressme
BMW Albatha Finance PJSC,Dubai,Finance Company,BMW Albatha Finance,https://www.linkedin.com/company/albatha-group/
Al Ain Finance Co. PJSC,Abu Dhabi,Finance Company,Al Ain Finance Co,https://www.linkedin.com/company/al-ain-finance
Quantix Technology Projects L.L.C.,Abu Dhabi,Finance Company,Quantix Technology Projects,https://www.linkedin.com/company/quantix-technology-projects
